51165.51	101	14.8	14.7	42	91.17381436	69.1	14.8	33.04	42.76	55.11122133	1	13	31																						
46008.87	101	14.8	14.7	42	91.17381436	69.1	14.8	33.04	42.76	73.58401129	1	13	32																						
43829.05	101	14.8	14.7	42	91.17381436	69.1	14.8	33.04	42.76	82.666832	1	13	33																						
41589.48	101	14.8	14.7	42	91.17381436	69.1	14.8	33.04	42.76	96.32762837	1	13	34																						
39521.38	101	14.8	14.7	42	91.17381436	69.1	14.8	33.04	42.76	109.7836591	1	13	35																						
19982.77	101	14.8	17.63	42	98.50858975	19.2	14.8	33.04	42.76	57.48065282	1	14	46																						
15357.66	101	14.8	17.63	42	98.50858975	19.2	14.8	33.04	42.76	69.38631476	1	14	47																						
12509.71	101	14.8	17.63	42	98.50858975	19.2	14.8	33.04	42.76	82.31580511	1	14	48																						
10273.65	101	14.8	17.63	42	98.50858975	19.2	14.8	33.04	42.76	94.07520584	1	14	49																						
8454.24	101	14.8	17.63	42	98.50858975	19.2	14.8	33.04	42.76	112.328604	1	14	50																						
27728.28	101	14.8	17.63	21	98.50858975	19.2	14.8	33.04	42.76	35.80474252	1	14	51																						
19894.64	101	14.8	17.63	21	98.50858975	19.2	14.8	33.04	42.76	47.94442238	1	14	52																						
14160.35	101	14.8	17.63	21	98.50858975	19.2	14.8	33.04	42.76	63.38960543	1	14	53																						
11668.01	101	14.8	17.63	21	98.50858975	19.2	14.8	33.04	42.76	76.30446966	1	14	54																						
9935.33	101	14.8	17.63	21	98.50858975	19.2	14.8	33.04	42.76	88.98531597	1	14	55																						
26663.66	101	16.1	19.17	42	94.54857274	13.6	12.13	34.29	66.77	57.12962594	2	25	121																						
20057.29	101	16.1	19.17	42	94.54857274	13.6	12.13	34.29	66.77	70.3516387	2	25	122																						
16249.85	101	16.1	19.17	42	94.54857274	13.6	12.13	34.29	66.77	81.90627374	2	25	123																						
13742.82	101	16.1	19.17	42	94.54857274	13.6	12.13	34.29	66.77	94.07520584	2	25	124																						
10909.9	101	16.1	19.17	42	94.54857274	13.6	12.13	34.29	66.77	112.328604	2	25	125																						
32144.51	101	16.1	19.17	21	94.54857274	13.6	12.13	34.29	66.77	38.55445314	2	25	126																						
23553.77	101	16.1	19.17	21	94.54857274	13.6	12.13	34.29	66.77	50.13834043	2	25	127																						
18092.41	101	16.1	19.17	21	94.54857274	13.6	12.13	34.29	66.77	63.30184871	2	25	128																						
14659.48	101	16.1	19.17	21	94.54857274	13.6	12.13	34.29	66.77	76.37760027	2	25	129																						
12034.68	101	16.1	19.17	21	94.54857274	13.6	12.13	34.29	66.77	91.8812878	2	25	130																						
59040.31	101	15.8	13.82	42	79.18966363	73	14.57	39.69	85.16	55.98878855	3	32	151																						
55961.67	101	15.8	13.82	42	79.18966363	73	14.57	39.69	85.16	70.93668351	3	32	152																						
54146.74	101	15.8	13.82	42	79.18966363	73	14.57	39.69	85.16	81.90627374	3	32	153																						
52001.18	101	15.8	13.82	42	79.18966363	73	14.57	39.69	85.16	99.28210467	3	32	154																						
50848.16	101	15.8	13.82	42	79.18966363	73	14.57	39.69	85.16	111.7143069	3	32	155																						
49897.88	101	15.8	18.71	42	96.19534936	13.4	14.57	39.69	85.16	56.33981544	3	35	196																						
36715.2	101	15.8	18.71	42	96.19534936	13.4	14.57	39.69	85.16	69.79584613	3	35	197																						
28991.85	101	15.8	18.71	42	96.19534936	13.4	14.57	39.69	85.16	83.10561561	3	35	198																						
24230.81	101	15.8	18.71	42	96.19534936	13.4	14.57	39.69	85.16	94.07520584	3	35	199																						
19114.97	101	15.8	18.71	42	96.19534936	13.4	14.57	39.69	85.16	112.328604	3	35	200																						
